code,name,ktype,fq,tdate,open,close,high,low,cjl,cje,hsl
"""股票代码""","""股票名称""","""K线类别""","""复权信息，除沪深京A股、B股、港股外，其余复权值默认为前复权""","""交易时间""","""开盘价""","""收盘价""","""最高价""","""最低价""","""成交量""","""成交额""","""换手率"""
300377,赢时胜,101,0,2022-07-15,8.55,8.22,8.57,8.2,134903.0,1.12276E8,2.14
300378,鼎捷软件,101,0,2022-07-15,15.54,15.28,15.65,15.15,32524.0,5.01065E7,1.22
300379,东方通,101,0,2022-07-15,16.69,16.13,16.69,16.13,52606.0,8.6048896E7,1.22
300380,安硕信息,101,0,2022-07-15,13.81,13.2,13.81,13.2,16605.0,2.22243E7,1.32
300381,溢多利,101,0,2022-07-15,10.03,10.06,10.34,9.84,92524.0,9.33764E7,1.94
300382,斯莱克,101,0,2022-07-15,20.5,21.02,21.95,20.26,227679.0,4.8784E8,3.92
300383,光环新网,101,0,2022-07-15,9.48,9.24,9.51,9.23,222883.0,2.08436E8,1.25
300384,三联虹普,101,0,2022-07-15,18.28,18.1,18.88,18.09,32383.0,5.99381E7,1.47
300385,雪浪环境,101,0,2022-07-15,6.72,6.51,6.74,6.51,25675.0,1.69532E7,0.92
300386,飞天诚信,101,0,2022-07-15,10.86,10.23,10.95,10.23,73010.0,7.5885904E7,3.02
300387,富邦股份,101,0,2022-07-15,6.83,6.54,6.84,6.52,89320.0,5.93094E7,3.1
300388,节能国祯,101,0,2022-07-15,6.66,6.7,6.9,6.55,67676.0,4.53228E7,0.97
300389,艾比森,101,0,2022-07-15,10.81,10.62,10.9,10.56,53879.0,5.76634E7,3.15
300390,天华超净,101,0,2022-07-15,86.0,86.38,90.15,85.7,220669.0,1.93950003E9,5.18
300391,康跃科技,101,0,2022-07-15,11.81,11.75,12.16,11.66,70031.0,8.34676E7,2.0
300392,*ST腾信,101,0,2022-07-15,2.74,2.62,2.74,2.58,32235.0,8516850.0,1.09
300393,中来股份,101,0,2022-07-15,16.66,16.8,17.19,16.36,668818.0,1.12462003E9,7.3
300394,天孚通信,101,0,2022-07-15,23.72,24.33,24.76,23.51,70575.0,1.71540992E8,1.98
300395,菲利华,101,0,2022-07-15,47.98,46.89,49.28,46.7,54704.0,2.60483008E8,1.15
300396,迪瑞医疗,101,0,2022-07-15,14.58,14.37,14.66,14.34,15292.0,2.2119E7,0.61
300397,天和防务,101,0,2022-07-15,10.39,9.99,10.48,9.99,107390.0,1.09264E8,2.68
300398,飞凯材料,101,0,2022-07-15,20.78,20.61,21.05,20.6,108226.0,2.25556E8,2.06
300399,天利科技,101,0,2022-07-15,10.75,10.27,10.75,10.24,28234.0,2.929E7,1.45
300400,劲拓股份,101,0,2022-07-15,17.1,16.17,17.11,16.13,39226.0,6.50189E7,2.16
300401,花园生物,101,0,2022-07-15,15.5,15.74,16.05,15.38,142846.0,2.25636992E8,2.63
300402,宝色股份,101,0,2022-07-15,21.4,21.31,22.0,20.86,65056.0,1.39095008E8,3.22
300403,汉宇集团,101,0,2022-07-15,7.89,8.33,8.78,7.89,674993.0,5.6304397E8,16.76
300404,博济医药,101,0,2022-07-15,8.54,8.45,8.75,8.35,99481.0,8.46916E7,3.69
300405,科隆股份,101,0,2022-07-15,5.86,5.61,5.86,5.61,43235.0,2.4557E7,1.99
300406,九强生物,101,0,2022-07-15,17.91,17.6,18.08,17.47,37801.0,6.70277E7,1.13
300407,凯发电气,101,0,2022-07-15,8.57,8.24,8.57,8.23,24981.0,2.0839E7,1.17
300408,三环集团,101,0,2022-07-15,26.45,26.45,27.6,26.38,152283.0,4.09468E8,0.82
